Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Denux, J.-P., Jacquin, A., Gay, M., Touriño, I., Chéret, V.","8517491800;23392741700;24294155300;56024119000;8517491700;","Time series analysis of high spatial resolution SPOT images for wheat growth monitoring",2005,"Precision Agriculture 2005, ECPA 2005",,,,"787","793",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893392648&partnerID=40&md5=7b33d169e41b6e2d6336927a7b9ae692",Conference Paper,"Final","",Scopus,2-s2.0-84893392648
"Xiao, L., Liu, L., Qiu, X., Tang, L., Cao, W., Zhu, Y., Liu, B.","57194280941;55557451700;23010231700;57218970655;55489902600;8921604000;55933055300;","Testing the responses of low temperature stress routine to low temperature stress at jointing and booting in wheat [小麦生长模型对拔节期和孕穗期低温胁迫响应能力的比较]",2021,"Scientia Agricultura Sinica","54","3",,"504","521",,1,"10.3864/j.issn.0578-1752.2021.03.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104598866&doi=10.3864%2fj.issn.0578-1752.2021.03.005&partnerID=40&md5=4bfa7032d7ac26583686e5b1eab4ba54",Article,"Final","",Scopus,2-s2.0-85104598866
"Falconnier, G.N., Vermue, A., Journet, E.-P., Christina, M., Bedoussac, L., Justes, E.","55366010400;55773949900;6603583689;55170108400;35773103400;6603057433;","Contrasted response to climate change of winter and spring grain legumes in southwestern France",2020,"Field Crops Research","259",,"107967","","",,1,"10.1016/j.fcr.2020.107967","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092063909&doi=10.1016%2fj.fcr.2020.107967&partnerID=40&md5=018815aff20c1d4f16dba5839e045029",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85092063909
"Mao, X., Yang, J., Zhu, X., He, C., Feng, H., He, J.","57211059205;57020338000;57211058626;57211058261;35519233800;55649122800;","Simulation Accuracy of Growth and Development of Winter Rape (Brassica napus L.) in Guanzhong Plain with Different Crop Models [陕西关中冬油菜生长发育不同模型模拟精度研究]",2019,"Nongye Jixie Xuebao/Transactions of the Chinese Society for Agricultural Machinery","50","6",,"306","314",,1,"10.6041/j.issn.1000-1298.2019.06.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072540775&doi=10.6041%2fj.issn.1000-1298.2019.06.035&partnerID=40&md5=e44f146c534e509a7a69bfaea144b8f4",Article,"Final","",Scopus,2-s2.0-85072540775
"Morissette, R., Jégo, G., Bélanger, G., Cambouris, A.N., Nyiraneza, J., Zebarth, B.J.","24830874700;23767941600;55584175400;57191402447;23028566700;7003618659;","Simulating potato growth and nitrogen uptake in eastern Canada with the STICS model",2016,"Agronomy Journal","108","5",,"1853","1868",,1,"10.2134/agronj2016.02.0112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986540210&doi=10.2134%2fagronj2016.02.0112&partnerID=40&md5=7f058e75dffa16f3fd0c6feb668964bc",Article,"Final","",Scopus,2-s2.0-84986540210
"Rühlemann, L., Schmidtke, K.","56464258400;7003307042;","The suitability of non-legume cover crops for inorganic soil nitrogen immobilisation in the transition period to an organic no-till system",2016,"Plant Production Science","19","1",,"105","124",,1,"10.1080/1343943X.2015.1128098","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969651067&doi=10.1080%2f1343943X.2015.1128098&partnerID=40&md5=01771bbc191ef13ad68df4ee85d31079",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-84969651067
"Briand, B., Durand, V., Mercat-Rommens, C.","25633804600;7004085420;8616741500;","Identifying the relationships between agronomic and radioecological variables using a crop model applied to lettuce",2008,"Journal of Agronomy","7","2",,"148","155",,1,"10.3923/ja.2008.148.155","https://www.scopus.com/inward/record.uri?eid=2-s2.0-55349084444&doi=10.3923%2fja.2008.148.155&partnerID=40&md5=1a4b9d7c7b80984027116eda9259765e",Article,"Final","",Scopus,2-s2.0-55349084444
"Kurz, F., Martínez, L., Palà, V., Arbiol, R., Villar, P., Calvet, F.","6603997920;14031778500;7003295419;6602767157;6602587757;14030966400;","Assimilation of hyperspectral data into crop growth models: Precision farming application for maize in Catalonia",2005,"International Geoscience and Remote Sensing Symposium (IGARSS)","7",,"1526810","5037","5040",,1,"10.1109/IGARSS.2005.1526810","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745714205&doi=10.1109%2fIGARSS.2005.1526810&partnerID=40&md5=70f8fe9dc169b7d379a9cafd2ad67fc5",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-33745714205
"Lauvernet, C., Baret, F., Dimet, L.","23668010900;7006967825;6505719878;","Assimilating high temporal frequency SPOT data to describe canopy functioning: The ADAM project",2003,"International Geoscience and Remote Sensing Symposium (IGARSS)","5",,,"3184","3186",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242657924&partnerID=40&md5=61e66543565113e668da494510fc043a",Conference Paper,"Final","",Scopus,2-s2.0-0242657924
"Rodriguez, J.C., Duchemin, B., Watts, C.J., Hadria, R., Garatuza, J., Chehbouni, A., Boulet, G., Armenta, M., Er-Raki, S.","7404696407;57203531598;7202527347;6507578688;6603199023;7006296776;6603909149;55402009000;7801628091;","Wheat yields estimation using remote sensing and crop modeling in Yaqui Valley in Mexico",2003,"International Geoscience and Remote Sensing Symposium (IGARSS)","4",,,"2221","2223",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242541772&partnerID=40&md5=c21f5a2fc4ce8193a68fa1b16b1b19ad",Conference Paper,"Final","",Scopus,2-s2.0-0242541772
"Azmat, M., Ilyas, F., Sarwar, A., Huggel, C., Vaghefi, S.A., Hui, T., Qamar, M.U., Bilal, M., Ahmed, Z.","57192007192;57217955691;57224626686;6603181723;56639976800;36109320900;56781216900;57224853333;55866153900;","Impacts of climate change on wheat phenology and yield in Indus Basin, Pakistan",2021,"Science of the Total Environment","790",,"148221","","",,2,"10.1016/j.scitotenv.2021.148221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108114804&doi=10.1016%2fj.scitotenv.2021.148221&partnerID=40&md5=7fa7f8f529035b1062a3507b4e29ce72",Article,"Final","",Scopus,2-s2.0-85108114804
"Paleari, L., Movedi, E., Zoli, M., Burato, A., Cecconi, I., Errahouly, J., Pecollo, E., Sorvillo, C., Confalonieri, R.","55751046700;55751671800;57226524318;57224674465;57224683809;57224675120;57224687614;57224683904;36757575600;","Sensitivity analysis using Morris: Just screening or an effective ranking method?",2021,"Ecological Modelling","455",,"109648","","",,2,"10.1016/j.ecolmodel.2021.109648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108158510&doi=10.1016%2fj.ecolmodel.2021.109648&partnerID=40&md5=04fb534a9cffbf48fe9bb02cf418543a",Article,"Final","",Scopus,2-s2.0-85108158510
"Valdés-Gómez, H., Acevedo-Opazo, C., Ortega-Farias, S., Brisson, N., Gary, C.","23989626900;15761942100;6603288395;7005033261;7006855206;","Modelling the effects of niño and niña events on water balance of grapevine ('Cabernet Sauvignon') in Central Valley of Chile",2011,"Acta Horticulturae","889",,,"159","166",,2,"10.17660/ActaHortic.2011.889.17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053230016&doi=10.17660%2fActaHortic.2011.889.17&partnerID=40&md5=63143cd7cf5dd77131ac3450233399c0",Article,"Final","",Scopus,2-s2.0-80053230016
"Varella, H., Guérif, M., Buis, S.","34968726300;6701782386;11839198600;","Global sensitivity analysis (gsa) measures the quality of parameter estimation. case of soil parameter estimation with a crop model",2008,"International Geoscience and Remote Sensing Symposium (IGARSS)","3","1","4779531","III1040","III1043",,2,"10.1109/IGARSS.2008.4779531","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649797493&doi=10.1109%2fIGARSS.2008.4779531&partnerID=40&md5=ea65ec8aeb4f5385d251938f0db431fd",Conference Paper,"Final","",Scopus,2-s2.0-67649797493
"Yang, C., Menz, C., Fraga, H., Reis, S., Machado, N., Malheiro, A.C., Santos, J.A.","57193260079;44061697700;57188959456;57210157052;16745188300;35604127500;56157920300;","Simultaneous calibration of grapevine phenology and yield with a soil–plant–atmosphere system model using the frequentist method",2021,"Agronomy","11","8","1659","","",,3,"10.3390/agronomy11081659","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113936673&doi=10.3390%2fagronomy11081659&partnerID=40&md5=226920f2d8911933ee4f5361d87426f1",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85113936673
"Courault, D., Hossard, L., Demarez, V., Dechatre, H., Irfan, K., Baghdadi, N., Flamain, F., Ruget, F.","6603818863;26532629200;6601953572;57194587271;57195066194;7003754050;6505528542;6602167020;","STICS crop model and Sentinel-2 images for monitoring rice growth and yield in the Camargue region",2021,"Agronomy for Sustainable Development","41","4","49","","",,3,"10.1007/s13593-021-00697-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109698922&doi=10.1007%2fs13593-021-00697-w&partnerID=40&md5=5bdc6fb86cd035e6a4a90af008630f8d",Article,"Final","",Scopus,2-s2.0-85109698922
"Levavasseur, F., Mary, B., Houot, S.","35503628400;56235628300;56668563200;","C and N dynamics with repeated organic amendments can be simulated with the STICS model",2021,"Nutrient Cycling in Agroecosystems","119","1",,"103","121",,3,"10.1007/s10705-020-10106-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098660320&doi=10.1007%2fs10705-020-10106-5&partnerID=40&md5=1d98b624cb34c3ef4d26104e6025c788",Article,"Final","",Scopus,2-s2.0-85098660320
"Paleari, L., Vesely, F.M., Ravasi, R.A., Movedi, E., Tartarini, S., Invernizzi, M., Confalonieri, R.","55751046700;57196401540;57196401596;55751671800;57196399144;57225073859;36757575600;","Analysis of the similarity between in silico ideotypes and phenotypic profiles to support cultivar recommendation—a case study on phaseolus vulgaris l.",2020,"Agronomy","10","11","1733","","",,3,"10.3390/agronomy10111733","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109086491&doi=10.3390%2fagronomy10111733&partnerID=40&md5=c7f2c6a7021500a04040881770b510c5",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85109086491
"Liang, H., Gao, S., Hu, K.","55742849300;56083666000;8504814600;","Global sensitivity and uncertainty analysis of the dynamic simulation of crop N uptake by using various N dilution curve approaches",2020,"European Journal of Agronomy","116",,"126044","","",,3,"10.1016/j.eja.2020.126044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082866421&doi=10.1016%2fj.eja.2020.126044&partnerID=40&md5=a61aecfc587a1830d7144d73c1956be5",Article,"Final","",Scopus,2-s2.0-85082866421
"Tribouillois, H., Constantin, J., Guillon, B., Willaume, M., Aubrion, G., Fontaine, A., Hauprich, P., Kerveillant, P., Laurent, F., Therond, O.","56545818900;26321290000;57213623469;7801562293;35228791000;35229337700;57213623188;6507285336;57209513995;24077702000;","AqYield-N: A simple model to predict nitrogen leaching from crop fields",2020,"Agricultural and Forest Meteorology","284",,"107890","","",,3,"10.1016/j.agrformet.2019.107890","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077917648&doi=10.1016%2fj.agrformet.2019.107890&partnerID=40&md5=a5c0533c836819bd41e9a530547d5dd5",Article,"Final","",Scopus,2-s2.0-85077917648
"Cavalli, D., Bellocchi, G., Corti, M., Marino Gallina, P., Bechini, L.","36146842800;6602583599;56708189900;57208175733;6506802908;","Sensitivity analysis of C and N modules in biogeochemical crop and grassland models following manure addition to soil",2019,"European Journal of Soil Science","70","4",,"833","846",,3,"10.1111/ejss.12793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064048275&doi=10.1111%2fejss.12793&partnerID=40&md5=fe5964af60d7b00af353adcad211cf39",Article,"Final","",Scopus,2-s2.0-85064048275
"Bernard, P.-Y., Benoît, M., Roger-Estrade, J., Plantureux, S.","57191532592;7103191558;6602427760;55883510900;","Using biophysical models to manage nitrogen pollution from agricultural sources: Utopic or realistic approach for non-scientist users? Case study of a drinking water catchment area in Lorraine, France",2016,"Journal of Environmental Management","183",,,"260","274",,3,"10.1016/j.jenvman.2016.08.050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990932664&doi=10.1016%2fj.jenvman.2016.08.050&partnerID=40&md5=49d9bfddcbd548d82db2d30cd8da76e9",Article,"Final","",Scopus,2-s2.0-84990932664
"Bergez, J.-E., Raynal, H., Joannon, A., Casellas, E., Chabrier, P., Justes, E., Quesnel, G., Véricel, G.","6603865785;22136436200;7801321951;15841540300;8580433000;6603057433;36881349400;57079234900;","A new plug-in under RECORD to link biophysical and decision models for crop management",2016,"Agronomy for Sustainable Development","36","1","19","1","8",,3,"10.1007/s13593-016-0357-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959329775&doi=10.1007%2fs13593-016-0357-y&partnerID=40&md5=028510f8ef0ec25a29df38072812a2a8",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84959329775
"de Cara, S., Jacquet, F., Reynaud, A., Goulevant, G., Jeuffroy, M.-H., Montfort, F., Lucas, P.","9741830100;7004179886;7006748061;36194833900;6603807632;26537924300;36008941800;","Economic Analysis of Summer Fallow Management to Reduce Take-All Disease and N Leaching in a Wheat Crop Rotation",2011,"Environmental Modeling and Assessment","16","1",,"91","105",,3,"10.1007/s10666-010-9234-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79151470044&doi=10.1007%2fs10666-010-9234-2&partnerID=40&md5=25cbe66c6ef761c55a4f6bcf9cec74d6",Article,"Final","All Open Access, Green",Scopus,2-s2.0-79151470044
"Zanolin, A., de Fouquet, C., Granier, J., Ruelle, P., Nicoullaud, B.","16744910700;6602815859;56375752900;7004011745;6602533430;","Geostatistical simulation of the spatial variability of an irrigated maize farm plot",2007,"Comptes Rendus - Geoscience","339","6",,"430","440",,3,"10.1016/j.crte.2007.04.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34447101399&doi=10.1016%2fj.crte.2007.04.002&partnerID=40&md5=0357a9896a4a756105670b009cf7ef68",Article,"Final","",Scopus,2-s2.0-34447101399
"Autret, B., Mary, B., Strullu, L., Chlebowski, F., Mäder, P., Mayer, J., Olesen, J.E., Beaudoin, N.","57190573452;56235628300;37073618900;57205513098;7003641127;56024532700;57203030850;15071436000;","Long-term modelling of crop yield, nitrogen losses and GHG balance in organic cropping systems",2020,"Science of the Total Environment","710",,"134597","","",,4,"10.1016/j.scitotenv.2019.134597","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076600946&doi=10.1016%2fj.scitotenv.2019.134597&partnerID=40&md5=72a08cd16d95494d155896f9aa11c85d",Article,"Final","",Scopus,2-s2.0-85076600946
"Marraccini, E., Gotor, A.A., Scheurer, O., Leclercq, C.","55008938600;15071652800;56056147900;57208397365;","An innovative land suitability method to assess the potential for the introduction of a new crop at a regional level",2020,"Agronomy","10","3","330","","",,4,"10.3390/agronomy10030330","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081664655&doi=10.3390%2fagronomy10030330&partnerID=40&md5=617135701190574263a0d27183c4d4fc",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85081664655
"Gaetan, L., Lucas, F., Vincent, M., Abraham, E.-G., Didier, C.","24605164500;57193426909;57193418651;55779666700;55781048900;","Assessment of '3DS', a soil module for individual-based models of plant communities",2017,"Proceedings - 2016 IEEE International Conference on Functional-Structural Plant Growth Modeling, Simulation, Visualization and Applications, FSPMA 2016",,,"7818298","125","132",,4,"10.1109/FSPMA.2016.7818298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013861045&doi=10.1109%2fFSPMA.2016.7818298&partnerID=40&md5=74d256c4576ccee4bd7ff1600f8ca8f4",Conference Paper,"Final","",Scopus,2-s2.0-85013861045
"Lauvernet, C., Hascoët, L., Le Dimet, F.-X., Baret, F.","23668010900;7801516456;6603619436;7006967825;","Using automatic differentiation to study the sensitivity of a crop model",2012,"Lecture Notes in Computational Science and Engineering","87 LNCSE",,,"59","69",,4,"10.1007/978-3-642-30023-3_6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865568653&doi=10.1007%2f978-3-642-30023-3_6&partnerID=40&md5=5674bf80f14d4a7a3b19f2a3e4aa0821",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84865568653
"Celette, F., Valdés, H., Gary, C., Ortega-Farias, S., Acevedo, C., De Cortázar, I.G.","9737272700;23989626900;7006855206;6603288395;15761942100;26321527100;","Evaluation of the STICS model for simulating vineyard water balance under two different water management strategies",2008,"Acta Horticulturae","792",,,"155","162",,4,"10.17660/ActaHortic.2008.792.16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-61849184433&doi=10.17660%2fActaHortic.2008.792.16&partnerID=40&md5=e000b135233353ccc6dd26d622f35383",Conference Paper,"Final","",Scopus,2-s2.0-61849184433
"Chaves, B., Redin, M., Giacomini, S.J., Schmatz, R., Léonard, J., Ferchaud, F., Recous, S.","57192201159;14326066600;6701386972;55993991200;7402282845;16554673200;55927435100;","The combination of residue quality, residue placement and soil mineral N content drives C and N dynamics by modifying N availability to microbial decomposers",2021,"Soil Biology and Biochemistry","163",,"108434","","",,5,"10.1016/j.soilbio.2021.108434","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116442373&doi=10.1016%2fj.soilbio.2021.108434&partnerID=40&md5=c30c8d550ef5f9b01f87b50e7898ee86",Article,"Final","",Scopus,2-s2.0-85116442373
"Billen, G., Garnier, J., Le Noë, J., Viennot, P., Gallois, N., Puech, T., Schott, C., Anglade, J., Mary, B., Beaudoin, N., Léonard, J., Mignolet, C., Théry, S., Thieu, V., Silvestre, M., Passy, P.","7003799164;7201815156;57192541042;16041070900;16309725100;56717763900;7004557922;55862217800;56235628300;15071436000;7402282845;55898425600;8421913600;26327147000;16040395600;54417881500;","The Seine Watershed Water-Agro-Food System: Long-Term Trajectories of C, N and P Metabolism",2021,"Handbook of Environmental Chemistry","90",,,"91","115",,5,"10.1007/698_2019_393","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098845197&doi=10.1007%2f698_2019_393&partnerID=40&md5=53004709e6ed90ed11817853cc52565d",Book Chapter,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85098845197
"Graux, A.-I., Resmond, R., Casellas, E., Delaby, L., Faverdin, P., Le Bas, C., Ripoche, D., Ruget, F., Thérond, O., Vertès, F., Peyraud, J.-L.","35366144000;57188867460;15841540300;6701451320;7004249720;25653990800;6507647940;6602167020;24077702000;24327973500;7004857372;","High-resolution assessment of French grassland dry matter and nitrogen yields",2020,"European Journal of Agronomy","112",,"125952","","",,5,"10.1016/j.eja.2019.125952","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072764745&doi=10.1016%2fj.eja.2019.125952&partnerID=40&md5=3ab152f2fd1424bfe5cdb49eae5e5877",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85072764745
"Urruty, N., Guyomard, H., Tailliez-Lefebvre, D., Huyghe, C.","56642725300;6701485757;57140830300;7003399967;","Factors of winter wheat yield robustness in France under unfavourable weather conditions",2017,"European Journal of Agronomy","90",,,"174","183",,5,"10.1016/j.eja.2017.08.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028022142&doi=10.1016%2fj.eja.2017.08.002&partnerID=40&md5=787d4e5e9cbdf6da68479510e3c7c961",Article,"Final","",Scopus,2-s2.0-85028022142
"Dumont, B., Basso, B., Leemans, V., Bodson, B., Destain, J.-P., Destain, M.-F.","15076747400;15764844100;6602403778;14067188700;8301431100;6602395320;","Yield variability linked to climate uncertainty and nitrogen fertilisation",2013,"Precision Agriculture 2013 - Papers Presented at the 9th European Conference on Precision Agriculture, ECPA 2013",,,,"427","434",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893422386&partnerID=40&md5=d8b0233af5d4f6e2c62708075d76af0d",Conference Paper,"Final","",Scopus,2-s2.0-84893422386
"Launay, C., Constantin, J., Chlebowski, F., Houot, S., Graux, A.-I., Klumpp, K., Martin, R., Mary, B., Pellerin, S., Therond, O.","57221818557;26321290000;57205513098;56668563200;35366144000;16022609200;53881734000;56235628300;56266397300;24077702000;","Estimating the carbon storage potential and greenhouse gas emissions of French arable cropland using high-resolution modeling",2021,"Global Change Biology","27","8",,"1645","1661",,6,"10.1111/gcb.15512","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100290396&doi=10.1111%2fgcb.15512&partnerID=40&md5=efe7220089d2dad06ab09430b9a472b7",Article,"Final","",Scopus,2-s2.0-85100290396
"Blanchoud, H., Schott, C., Tallec, G., Queyrel, W., Gallois, N., Habets, F., Viennot, P., Ansart, P., Desportes, A., Tournebize, J., Puech, T.","6602448079;7004557922;12754086300;56951315000;16309725100;26643531800;16041070900;6505845694;6508133772;12446001600;56717763900;","How Should Agricultural Practices Be Integrated to Understand and Simulate Long-Term Pesticide Contamination in the Seine River Basin?",2021,"Handbook of Environmental Chemistry","90",,,"141","162",,6,"10.1007/698_2019_385","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092205401&doi=10.1007%2f698_2019_385&partnerID=40&md5=4c5e6b74a4d19f166f45071c3eced63e",Book Chapter,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85092205401
"Ravasi, R.A., Paleari, L., Vesely, F.M., Movedi, E., Thoelke, W., Confalonieri, R.","57196401596;55751046700;57196401540;55751671800;57196401326;36757575600;","Ideotype definition to adapt legumes to climate change: A case study for field pea in Northern Italy",2020,"Agricultural and Forest Meteorology","291",,"108081","","",,6,"10.1016/j.agrformet.2020.108081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086565353&doi=10.1016%2fj.agrformet.2020.108081&partnerID=40&md5=3bc81500c53df599d2564c6d273e1aaa",Article,"Final","",Scopus,2-s2.0-85086565353
